product_id,product_name,category,currency,coins
aa68675f50a0551b8dadb954017a50a1,Geol Wooden Wet and Dry Broom,"[""Kitchen & Dining >> Housekeeping & Laundry >> Home Cleaning >> Brooms & Brushes >> Geol Brooms & Brushes >> Geol Wooden Wet and Dry Broom (Brown, Pack of 1)""]",35,350
7c88739f05009f3ed8b06dab0cb204c2,Havells Havells - Oro 32 One Way Electrical Switch,"[""Home Improvement >> Electricals >> Switches & Accessories >> Switches & Dimmers""]",36,360
0190dcb7c0ed541e6fb6381ff82d9853,Maped Twist and Flex Transparent Rubber Rulers,"[""Pens & Stationery >> School Supplies >> Pencils, Pen & Pencil Boxes >> Rulers >> Maped Rulers >> Maped Twist and Flex Transparent Rubber Rulers (...""]",49,490
8cfbbe81571f1f7455762ebcfd415d72,Khanna Jupiter Board & Art Paper Box File,"[""Pens & Stationery >> Office Supplies >> Files and Folders >> Khanna Jupiter Files and Folders >> Khanna Jupiter Board & Art Paper Box File (Set O...""]",55,550
badc0977093b7aed463c9f4304438218,Smartcraft Generic Netted Art Cloth Pencil Box,"[""Toys & School Supplies >> School Supplies >> Geometry & Pencil Boxes >> Smartcraft Geometry & Pencil Boxes""]",59,590
148ebf2646350dd37e8aebdc0b111316,Smartcraft Generic Netted Art Cloth Pencil Box,"[""Toys & School Supplies >> School Supplies >> Geometry & Pencil Boxes >> Smartcraft Geometry & Pencil Boxes""]",59,590
f0754c9a241ff9f67381855c4c15aa63,Smartcraft Generic Netted Art Cloth Pencil Box,"[""Toys & School Supplies >> School Supplies >> Geometry & Pencil Boxes >> Smartcraft Geometry & Pencil Boxes""]",59,590
49c2f4b59ffb26d04f604c8ae4c906f5,Avita 15 One Way Electrical Switch,"[""Home Improvement >> Electricals >> Switches & Accessories >> Switches & Dimmers""]",63,630
ff84447f9ba17e9e9e76da84072940f5,Smartcraft Angry Birds Cartoons Art Metal Pencil Box,"[""Toys & School Supplies >> School Supplies >> Geometry & Pencil Boxes >> Smartcraft Geometry & Pencil Boxes""]",69,690
79b69f2847cde61b113650c8e5926be6,Smartcraft Generic Pendant Art Cloth Pencil Box,"[""Toys & School Supplies >> School Supplies >> Geometry & Pencil Boxes >> Smartcraft Geometry & Pencil Boxes""]",69,690
948699ab8c947ce56c256f9cf7996761,Tks Cotton Hair Towel,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Tks Baby Bath Towels >> Tks Cotton Hair Towel (1 Hair towel, Orange)""]",70,700
38bb773254b25ce340e4cc6c394c9fa2,Regan Wheel Pizza Cutter,"[""Kitchen & Dining >> Kitchen Tools >> Kitchen Implements >> Pizza Cutters >> Regan Pizza Cutters""]",78,780
5883b450747bf2fe892c2dc0fe51130a,Disney Stand 3 Compartments Plastic Pen Holder,"[""Pens & Stationery >> Office Supplies >> Desk Organizers >> Disney Desk Organizers""]",79,790
6e070a9e36d66d8f72498d2ca1381491,Doraemon Polystyrene Pencil Box,"[""Toys & School Supplies >> School Supplies >> Geometry & Pencil Boxes >> Doraemon Geometry & Pencil Boxes""]",79,790
91a5be568857ac47fb573615fb22e27b,Agricart Mesembrythamem Heavens Mixed Seed,"[""Home Improvement >> Lawn & Gardening >> Plants >> Plant Seeds""]",80,800
